Fecha;Últ precio;Volumen;;;;;;
15/09/2020;91,94;1945275;;;;;;
14/09/2020;92,31;2139296;;;;;;
11/09/2020;87,37;1974467;;;;;;
10/09/2020;89,36;1774117;;;;;;
9/09/2020;90,39;2237962;;;;;;
8/09/2020;91,9;2781571;;;;;;
4/09/2020;90,94;3776024;;;;;;
3/09/2020;91,3;2541046;;;;;;
2/09/2020;91,34;3952749;;;;;;
1/09/2020;91,71;1712614;;;;;;
31/08/2020;90,36;3461786;;;;;;
28/08/2020;91,73;4251608;;;;;;
27/08/2020;88,8;3373196;;;;;;
26/08/2020;86,8;2210255;;;;;;
25/08/2020;88,44;2053319;;;;;;
24/08/2020;88,4;2468661;;;;;;
21/08/2020;87,35;2318538;;;;;;
20/08/2020;85,1;2274405;;;;;;
19/08/2020;84,49;2010743;;;;;;
18/08/2020;84,07;1806633;;;;;;
17/08/2020;84,98;2360937;;;;;;
14/08/2020;86;1899780;;;;;;
13/08/2020;85,5;1721135;;;;;;
12/08/2020;85,89;2169697;;;;;;
11/08/2020;87,02;5012172;;;;;;
10/08/2020;86,2;3588532;;;;;;
7/08/2020;83,7;3257136;;;;;;
6/08/2020;82,7;5000336;;;;;;
5/08/2020;80;3932789;;;;;;
4/08/2020;78,32;2856738;;;;;;
3/08/2020;74,74;1965751;;;;;;
31/07/2020;75,05;4115075;;;;;;
30/07/2020;76,14;2288581;;;;;;
29/07/2020;77,39;1605058;;;;;;
28/07/2020;76,67;2194787;;;;;;
27/07/2020;77,34;2389791;;;;;;
24/07/2020;77,43;1257384;;;;;;
23/07/2020;78,86;2150342;;;;;;
22/07/2020;79,62;2584135;;;;;;
21/07/2020;80,12;2087077;;;;;;
20/07/2020;78,17;2103501;;;;;;
17/07/2020;79,9;2270133;;;;;;
16/07/2020;80,89;2863460;;;;;;
15/07/2020;80,92;4597152;;;;;;
14/07/2020;73,51;2452006;;;;;;
13/07/2020;73,58;2984946;;;;;;
10/07/2020;75,24;2168551;;;;;;
9/07/2020;74,13;2809601;;;;;;
8/07/2020;75,09;3597082;;;;;;
7/07/2020;74,17;2761225;;;;;;
6/07/2020;76,24;2942722;;;;;;
2/07/2020;74,52;1766401;;;;;;
1/07/2020;74,44;3177018;;;;;;
30/06/2020;73,45;4377429;;;;;;
