"","X","Symbol","open_to_close","rk_parzen","close_price","open_time","rv5_ss","medrv","rsv","rsv_ss","close_time","rv10","rv10_ss","bv","rk_th2","open_price","nobs","rv5","rk_twoscale","bv_ss"
"1","2000-01-04 00:00:00+00:00",".FTSE",-0.0388536915410533,0.000467700141982956,6666.1,80001,0.000232792284192125,9.57529764903723e-05,0.000178313024253241,0.000178313024253241,162945,0.00032075075493139,0.00032075075493139,0.0001967016009248,0.000209009711294062,6930.2,2040,0.000232792284192125,0.000204372309769364,0.0001967016009248
"2","2000-01-05 00:00:00+00:00",".FTSE",-0.0196490214281333,0.000285865147984615,6536.2,80001,0.000191529387335586,3.29958781315532e-05,0.000143995155045472,0.000143995155045472,162946,0.000277687917814832,0.000277687917814832,0.0001449249831094,0.000148874404826111,6665.9,2040,0.000191529387335586,0.000141675072047816,0.0001449249831094
"3","2000-01-06 00:00:00+00:00",".FTSE",-0.0136020890224167,0.000110198392886351,6447.6,80001,0.000123422800501623,4.38592495371216e-05,8.04747704309517e-05,8.04747704309517e-05,162945,0.000146109220342601,0.000146109220342601,0.000127154865277572,0.000131669776780936,6535.9,2040,0.000123422800501623,0.000129559000860548,0.000127154865277571
"4","2000-01-07 00:00:00+00:00",".FTSE",0.00892518393630404,0.000100472860723157,6505,80001,0.000114034302989887,5.00969286747797e-05,5.36051708048359e-05,5.36051708048359e-05,162945,7.60575990414659e-05,7.60575990414659e-05,0.000115735022949275,0.000148424688315099,6447.2,2040,0.000114034302989887,0.000148863687921613,0.000115735022949275
"5","2000-01-10 00:00:00+00:00",".FTSE",0.0158314652166816,0.000219683764057804,6608.6,80001,0.000123278600316785,4.69204229315093e-05,3.2220732884261e-05,3.2220732884261e-05,162945,0.000166478023888852,0.000166478023888852,0.000136569170742414,9.74498190582409e-05,6504.8,2040,0.000123278600316785,9.6826475348682e-05,0.000136569170742414
"6","2000-01-11 00:00:00+00:00",".FTSE",-0.0134379497909602,0.000100006765424315,6519.5,80001,8.61932535165008e-05,3.26545495334455e-05,5.87558811972779e-05,5.87558811972779e-05,162945,9.57469776720709e-05,9.57469776720709e-05,8.81223039829257e-05,8.95333494919019e-05,6607.7,2040,8.61932535165008e-05,8.89928110882094e-05,8.81223039829257e-05
"7","2000-01-12 00:00:00+00:00",".FTSE",0.00196159626444548,8.23865465247194e-05,6531.7,80001,7.21466644413891e-05,5.11432988680944e-05,3.68495471694829e-05,3.68495471694829e-05,162945,9.54291017986692e-05,9.54291017986692e-05,7.72196776155759e-05,7.18254028784223e-05,6518.9,2040,7.21466644413891e-05,7.15844192466281e-05,7.72196776155759e-05
"8","2000-01-13 00:00:00+00:00",".FTSE",-0.000290882370752144,9.42939795799618e-05,6530.9,80002,8.9882989283975e-05,3.71902484898848e-05,4.1241797044488e-05,4.1241797044488e-05,162945,8.31491154983271e-05,8.31491154983271e-05,8.47114046520758e-05,0.000109747100391028,6532.8,2040,8.9882989283975e-05,0.000109343104091453,8.47114046520758e-05
"9","2000-01-14 00:00:00+00:00",".FTSE",0.019197532620943,0.000212255682783392,6658.1,80002,0.000141883411249198,2.5939061163975e-05,2.73274499264115e-05,2.73274499264115e-05,162945,0.000154413584127139,0.000154413584127139,6.72786933479233e-05,0.000116249600794348,6531.5,2040,0.000141883411249198,0.00011579644398142,6.72786933479233e-05
"10","2000-01-17 00:00:00+00:00",".FTSE",0.00156076509157188,2.85750486195664e-05,6668.6,80002,7.43984946603813e-05,3.27041635409039e-05,3.66784470922229e-05,3.66784470922229e-05,162945,7.13891489063409e-05,7.13891489063409e-05,6.72153659362112e-05,7.10661565961608e-05,6658.2,2040,7.43984946603813e-05,7.24401820941752e-05,6.72153659362112e-05
