upc,descrip,price,q,sales,volsales,unit,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6
1820000670,MICHELOB GOLDEN DRAF,.64767319,73691.492,45029.066,26160481.46,Oz,MICHELOB,GOLDEN,DRAF,,,
1820000695,MICHELOB GOLDEN DRAF,.59442002,357241.22,195674.2,126820631.3,Oz,MICHELOB,GOLDEN,DRAF,,,
1820000696,MICHELOB GOLDEN DRAF,.66714483,1319.5612,879.59998,468444.2383,Oz,MICHELOB,GOLDEN,DRAF,,,
1820000699,MICHELOB GOLDEN DRAF,.59719342,577691.94,312898.63,205080629.3,Oz,MICHELOB,GOLDEN,DRAF,,,
1820000700,MICHELOB GOLDEN DRAF,.64712238,8943.0264,5618.6597,3174774.364,Oz,MICHELOB,GOLDEN,DRAF,,,
1820000701,MICHELOB GOLDEN DRAF,.49377525,863.71283,429.38,306618.043,Oz,MICHELOB,GOLDEN,DRAF,,,
1820000759,MICHELOB GOLDEN DRFT,.64959812,115815.49,70220.867,41114499.13,Oz,MICHELOB,GOLDEN,DRFT,,,
1820000769,BUDWEISER LIGHT LONG,.57026732,8565.1514,4815.9497,3040628.965,Oz,BUDWEISER,LIGHT,LONG,,,
1820000770,MICHELOB DRY LONGNEC,.61448854,13663.456,8094.1099,4850527.166,Oz,MICHELOB,DRY,LONGNEC,,,
1820000771,BUDWEISER BEER LONG,.57558775,17406.213,9874.3096,6179205.371,Oz,BUDWEISER,BEER,LONG,,,
1820000773,BUDWEISER LIGHT BEER,.64092731,405.86502,260.12997,144082.0881,Oz,BUDWEISER,LIGHT,BEER,,,
1820000774,BUDWEISER BEER,.63437462,10113.97,6409.9194,3590459.382,Oz,BUDWEISER,BEER,,,,
1820000780,BUDWEISER DRY LONGNE,.60505885,85627.523,50066.539,30397772.52,Oz,BUDWEISER,DRY,LONGNE,,,
1820000781,BUDWEISER DRY BEER,.57800156,81524.891,46300.578,28941336.77,Oz,BUDWEISER,DRY,BEER,,,
1820000784,O'DOUL'S N/A LONGNEC,.63124526,1150939.3,697065.88,408583453.8,Oz,O'DOUL'S,N/A,LONGNEC,,,
1820000800,MICHELOB DRY LONGNEC,.67569119,58330.602,38404.73,20707364.64,Oz,MICHELOB,DRY,LONGNEC,,,
1820000801,BUSCH LIGHT BEER,.44833463,58396.582,25830.16,20730786.87,Oz,BUSCH,LIGHT,BEER,,,
1820000814,MICHELOB DRY LONGNEC,.61613512,56153.328,33415.969,19934431.67,Oz,MICHELOB,DRY,LONGNEC,,,
1820000830,BUDWEISER LIGHT LONG,.61603808,11.996011,7.3899994,4258.583984,Oz,BUDWEISER,LIGHT,LONG,,,
1820000833,BUDWEISER LIGHT LONG,.61907113,429733.09,256296.73,152555254.4,Oz,BUDWEISER,LIGHT,LONG,,,
1820000834,BUDWEISER BEER LONG,.62164909,837099.63,499436.84,297170379.1,Oz,BUDWEISER,BEER,LONG,,,
1820000846,CARLSBERG BEER,1.0820264,3988.6736,4315.8501,1415979.175,Oz,CARLSBERG,BEER,,,,
1820000847,ELEPHANT BEER,1.0820264,5.9980054,6.4899998,2129.291992,Oz,ELEPHANT,BEER,,,,
1820000869,MICHELOB CLASSIC DAR,.65006536,69318.953,43204.32,24608227.58,Oz,MICHELOB,CLASSIC,DAR,,,
1820000875,WINTER BREW,.96915251,2597.1365,2505.46,921983.4336,Oz,WINTER,BREW,,,,
1820000877,BUDWEISER LIGHT NR,.59777409,383824.38,215390.59,136257653.5,Oz,BUDWEISER,LIGHT,NR,,,
1820000884,MICHELOB LIGHT BEER,.64515579,119552.24,70965.844,42441048.09,Oz,MICHELOB,LIGHT,BEER,,,
1820000885,BUDWEISER LIGHT BEER,.64092731,149.28369,95.679993,52995.71021,Oz,BUDWEISER,LIGHT,BEER,,,
1820000891,MICHELOB REGULAR BEE,.65884095,395640.44,238759.77,140452358.7,Oz,MICHELOB,REGULAR,BEE,,,
1820000902,BUDWEISER LIGHT BEER,.65093452,9140.9609,5933.7598,3245040.998,Oz,BUDWEISER,LIGHT,BEER,,,
1820000926,BUDWEISER BEER N.R.B,.59896785,806467.81,450085.69,286296084.9,Oz,BUDWEISER,BEER,N.R.B,,,
1820000928,BUDWEISER BEER LONG,.61187005,23.992022,14.679999,8517.167969,Oz,BUDWEISER,BEER,LONG,,,
1820000956,MICHELOB LIGHT BEER,.66535807,246805.94,155565.39,87616107.02,Oz,MICHELOB,LIGHT,BEER,,,
1820000972,BUDWEISER BEER,.60773921,17517.508,10600.669,6218715.4,Oz,BUDWEISER,BEER,,,,
1820000987,MICHELOB REGULAR BEE,.67182136,736549.06,466412.88,261474928,Oz,MICHELOB,REGULAR,BEE,,,
1820000988,MICHELOB REGULAR BEE,.96375942,4513.4995,4353.3003,1602292.286,Oz,MICHELOB,REGULAR,BEE,,,
1820000997,BUDWEISER BEER N.R.B,.64943641,25143.639,16209.939,8925992.059,Oz,BUDWEISER,BEER,N.R.B,,,
1820011047,BUDWEISER BEER,.593876,1408199.8,812002.31,499910916.8,Oz,BUDWEISER,BEER,,,,
1820011168,BUDWEISER BEER,.47643793,4563642.5,2132987.5,1620093108,Oz,BUDWEISER,BEER,,,,
1820015168,NATURAL LIGHT,.34240547,9860.7207,3181.77,3500556.035,Oz,NATURAL,LIGHT,,,,
1820023920,BUDWEISER DRAFT BALL,.44757521,11609.586,5146.8901,4121402.832,GA,BUDWEISER,DRAFT,BALL,,,
1820029031,BUDWEISER DRY BEER,.4873319,9380.8809,4531.7998,3330212.68,Oz,BUDWEISER,DRY,BEER,,,
1820029167,BUDWEISER DRY BEER,.46422112,193231.75,88503.828,68597270.88,Oz,BUDWEISER,DRY,BEER,,,
1820041047,MICHELOB REGULAR BEE,.66020864,3214.9309,2123.3201,1141300.508,Oz,MICHELOB,REGULAR,BEE,,,
