Attributes;Adj Close;Adj Close;Adj Close
Symbols;NFLX;TSLA;AAPL
Date;;;
4/01/2016;109.9599991;44.68199921;24.36453629
5/01/2016;107.6600037;44.68600082;23.75397682
6/01/2016;117.6800003;43.80799866;23.28911591
7/01/2016;114.5599976;43.13000107;22.30620766
8/01/2016;111.3899994;42.20000076;22.42415428
11/01/2016;114.9700012;41.56999969;22.78725815
12/01/2016;116.5800018;41.99399948;23.11797523
13/01/2016;106.5599976;40.06200027;22.52360535
14/01/2016;107.0599976;41.23600006;23.01621628
15/01/2016;104.0400009;40.9980011;22.46347237
19/01/2016;107.8899994;40.94400024;22.3547802
20/01/2016;107.7399979;39.74000168;22.38484192
21/01/2016;102.3499985;39.99399948;22.27152061
22/01/2016;100.7200012;40.50999832;23.45563316
25/01/2016;99.12000275;39.27600098;22.9977169
26/01/2016;97.83000183;38.7120018;23.12491417
27/01/2016;91.15000153;37.61399841;21.60545349
28/01/2016;94.41000366;37.93999863;21.76041031
29/01/2016;91.83999634;38.24000168;22.51204109
1/02/2016;94.08999634;39.38800049;22.30158234
2/02/2016;91.48999786;36.55599976;21.8506031
3/02/2016;90.73999786;34.69599915;22.28308487
4/02/2016;89.70999908;35.06600189;22.46212578
5/02/2016;82.79000092;32.52000046;21.86220932
8/02/2016;83.31999969;29.59799957;22.09240913
9/02/2016;86.12999725;29.64999962;22.08775711
10/02/2016;88.44999695;28.73399925;21.92033958
11/02/2016;86.34999847;30.09399986;21.78779602
12/02/2016;87.40000153;30.20800018;21.85523224
16/02/2016;89.05000305;31.0340004;22.47142792
17/02/2016;94.76000214;33.73600006;22.81556511
18/02/2016;90.48999786;33.35400009;22.38306999
19/02/2016;89.23000336;33.31600189;22.33191681
22/02/2016;91.93000031;35.54800034;22.52723122
23/02/2016;89.12000275;35.44200134;22.01800156
24/02/2016;91.61000061;35.79999924;22.34586334
25/02/2016;94.52999878;37.48600006;22.49933052
26/02/2016;94.79000092;38.06800079;22.5342083
29/02/2016;93.41000366;38.38600159;22.48305702
1/03/2016;98.30000305;37.27000046;23.37596321
2/03/2016;97.61000061;37.66799927;23.42711639
3/03/2016;97.93000031;39.14799881;23.601511
4/03/2016;101.5800018;40.20800018;23.95262718
7/03/2016;95.48999786;41.05799866;23.6875515
8/03/2016;96.23000336;40.52000046;23.49222374
9/03/2016;98;41.74399948;23.51315498
10/03/2016;97.36000061;41.0359993;23.52477455
11/03/2016;97.66000366;41.5;23.77823448
14/03/2016;98.12999725;43.02999878;23.8386879
15/03/2016;97.86000061;43.66799927;24.31770134
16/03/2016;99.34999847;44.38600159;24.6409111
17/03/2016;99.72000122;45.27600098;24.60137939
18/03/2016;101.1200027;46.54800034;24.62928391
21/03/2016;101.0599976;47.66400146;24.62695885
22/03/2016;99.83999634;46.84799957;24.8153019
23/03/2016;99.58999634;44.51599884;24.67811012
24/03/2016;98.36000061;45.54999924;24.57114792
28/03/2016;101.2099991;46.05199814;24.45953369
29/03/2016;104.1299973;46.02600098;25.03852654
30/03/2016;102.1900024;45.37799835;25.4756794
31/03/2016;102.2300034;45.95399857;25.34313774
1/04/2016;105.6999969;47.51800156;25.57566643
4/04/2016;104.3499985;49.39799881;25.83842087
5/04/2016;104.9400024;51.09400177;25.53380966
6/04/2016;104.8300018;53.08399963;25.80121613
7/04/2016;104.4499969;51.43999863;25.2385006
8/04/2016;103.8099976;50.01399994;25.26640701
11/04/2016;102.6800003;49.98400116;25.35011482
12/04/2016;106.9800034;49.56399918;25.68030548
13/04/2016;109.6500015;50.90599823;26.05234528
