Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,NFLX,TSLA,AAPL,NFLX,TSLA,AAPL,NFLX,TSLA,AAPL,NFLX,TSLA,AAPL,NFLX,TSLA,AAPL,NFLX,TSLA,AAPL
Date,,,,,,,,,,,,,,,,,,
2016-01-04,109.95999908447266,44.68199920654297,24.36453628540039,109.95999908447266,44.68199920654297,26.337499618530273,110.0,46.2760009765625,26.342500686645508,105.20999908447266,43.79999923706055,25.5,109.0,46.14400100708008,25.65250015258789,20794800.0,34135500.0,270597600.0
2016-01-05,107.66000366210938,44.68600082397461,23.753976821899414,107.66000366210938,44.68600082397461,25.677499771118164,110.58000183105469,45.37799835205078,26.462499618530273,105.8499984741211,44.0,25.602500915527344,110.44999694824219,45.27199935913086,26.4375,17664600.0,15934000.0,223164000.0
2016-01-06,117.68000030517578,43.80799865722656,23.28911590576172,117.68000030517578,43.80799865722656,25.174999237060547,117.91000366210938,44.0099983215332,25.592500686645508,104.95999908447266,43.19599914550781,24.967500686645508,105.29000091552734,44.0,25.139999389648438,33045700.0,18895500.0,273829600.0
2016-01-07,114.55999755859375,43.130001068115234,22.30620765686035,114.55999755859375,43.130001068115234,24.112499237060547,122.18000030517578,43.6879997253418,25.032499313354492,112.29000091552734,42.73400115966797,24.107500076293945,116.36000061035156,42.8380012512207,24.670000076293945,33636700.0,17771500.0,324377600.0
2016-01-08,111.38999938964844,42.20000076293945,22.42415428161621,111.38999938964844,42.20000076293945,24.239999771118164,117.72000122070312,44.0880012512207,24.77750015258789,111.0999984741211,42.15399932861328,24.190000534057617,116.33000183105469,43.571998596191406,24.637500762939453,18067100.0,18140500.0,283192000.0
2016-01-11,114.97000122070312,41.56999969482422,22.78725814819336,114.97000122070312,41.56999969482422,24.63249969482422,116.79000091552734,42.88999938964844,24.764999389648438,111.19999694824219,40.599998474121094,24.334999084472656,112.12999725341797,42.801998138427734,24.74250030517578,21920400.0,20457000.0,198957600.0
2016-01-12,116.58000183105469,41.99399948120117,23.11797523498535,116.58000183105469,41.99399948120117,24.989999771118164,117.77999877929688,42.74800109863281,25.172500610351562,115.08000183105469,41.0620002746582,24.709999084472656,116.11000061035156,42.31999969482422,25.137500762939453,15133500.0,15459500.0,196616800.0
2016-01-13,106.55999755859375,40.0620002746582,22.523605346679688,106.55999755859375,40.0620002746582,24.34749984741211,114.4800033569336,42.529998779296875,25.297500610351562,104.52999877929688,40.0,24.325000762939453,114.43000030517578,42.402000427246094,25.079999923706055,24921600.0,20632000.0,249758400.0
2016-01-14,107.05999755859375,41.236000061035156,23.016216278076172,107.05999755859375,41.236000061035156,24.8799991607666,109.25,42.0,25.1200008392334,101.20999908447266,38.67599868774414,23.934999465942383,105.6500015258789,40.44200134277344,24.489999771118164,23664800.0,32453500.0,252680400.0
2016-01-15,104.04000091552734,40.99800109863281,22.463472366333008,104.04000091552734,40.99800109863281,24.282499313354492,105.5,41.013999938964844,24.427499771118164,101.72000122070312,39.45000076293945,23.84000015258789,102.43000030517578,39.79399871826172,24.049999237060547,19775100.0,27893000.0,319335600.0
2016-01-19,107.88999938964844,40.944000244140625,22.354780197143555,107.88999938964844,40.944000244140625,24.165000915527344,110.13999938964844,42.09400177001953,24.662500381469727,105.55000305175781,40.15599822998047,23.875,106.56999969482422,41.742000579833984,24.602500915527344,35722800.0,20193500.0,212350800.0
2016-01-20,107.73999786376953,39.7400016784668,22.384841918945312,107.73999786376953,39.7400016784668,24.197500228881836,109.98999786376953,40.25600051879883,24.547500610351562,97.05000305175781,38.25,23.354999542236328,108.91000366210938,39.880001068115234,23.774999618530273,53009400.0,29193000.0,289337600.0
2016-01-21,102.3499984741211,39.99399948120117,22.271520614624023,102.3499984741211,39.99399948120117,24.075000762939453,108.51000213623047,40.645999908447266,24.469999313354492,102.0999984741211,39.00400161743164,23.735000610351562,108.31999969482422,40.310001373291016,24.264999389648438,31027500.0,15831000.0,208646000.0
2016-01-22,100.72000122070312,40.5099983215332,23.45563316345215,100.72000122070312,40.5099983215332,25.354999542236328,104.98999786376953,41.099998474121094,25.364999771118164,99.22000122070312,39.805999755859375,24.592500686645508,104.72000122070312,40.959999084472656,24.657499313354492,26821800.0,15620500.0,263202000.0
