upc,descrip,price,q,sales,volsales,unit
294,BEER LIMIT,.26994327,9284.912570953369,2463.669953107834,3296144.015625,Oz
307,HEINEKEN KINGSIZE CA,.45596623,107.880802154541,49.19000005722046,38297.68310546875,Oz
710,BUDWEISER BEER,.50495952,215.9281940460205,107.9099979400635,76654.51171875,Oz
711,BUDWEISER DRY BEER,.49974945,167.9441528320313,81.93000030517578,59620.17578125,Oz
712,BUDWEISER LIGHT BEER,.45806894,23.99202156066895,10.98999977111816,8517.16796875,Oz
720,COORS BEER,.46848905,95.96808624267578,44.95999813079834,34068.671875,Oz
721,COORS EXTRA GOLD BEE,.54143,23.99202156066895,12.98999977111816,8517.16796875,Oz
723,KEYSTONE REGULAR BEE,.37470788,23.99202156066895,8.989999771118164,8517.16796875,Oz
731,MILLER HIGH LIFE PAR,.43314397,29.99002838134766,12.98999977111816,10646.4599609375,Oz
732,MILLER LITE BEER,.45806894,23.99202156066895,10.98999977111816,8517.16796875,Oz
735,MILWAUKEE'S BEST BEE,.32781729,95.96808624267578,31.45999908447266,34068.671875,Oz
740,OLD MILWAUKEE BEER,.39554814,23.99202156066895,9.489999771118164,8517.16796875,Oz
750,OLD STYLE BEER,.46185806,263.9122371673584,121.8899965286255,93688.84765625,Oz
757,OLD STYLE 30PK CANS,.36994347,2189.272102355957,749.6700077056885,777191.58203125,Oz
772,STROHS LIGHT BEER,.38312736,59.98005676269531,22.98000144958496,21292.919921875,Oz
245006405,TOSELLI NON-ALCOHOLI,2.8352666,31.69014024734497,89.84999799728394,11250,ML
272500010,MURPHYS IRSH DRAUGHT,1.4134876,12.67078649997711,17.90999901294708,4498.129302978516,Oz
272500017,MURPHYS IRSH AMBER (,1.0820264,11.99601078033447,12.97999954223633,4258.583984375,Oz
943922532,FULLERS EXTRA BEST S,1.2810328,1421.527282714844,1814.129945755005,504642.2021484375,Oz
948700005,AMSTEL LIGHT BIER,1.1059232,1632.05731523037,1804.930013895035,579380.3505859375,Oz
1035700155,O.B. KOREAN IMPORTED,.83194321,1259.581150054932,1047.899984359741,447151.3193359375,Oz
1497450009,WOODCHUCK DRAFT CIDE,1.1653874,5038.324581623077,5871.599836349487,1788605.2734375,Oz
1497460009,WOODCHUCK DARK & DRY,.99866527,173.942156791687,173.7099933624268,61749.4677734375,Oz
1604110011,GRANTS SCOTTISH ALE,1.3916531,47.98404312133789,66.91999816894531,17034.3359375,Oz
1820000008,BUDWEISER BEER N.R.B,.67839032,124857.1485059261,84417.7005944252,44324287.79266357,Oz
1820000016,BUDWEISER BEER,.63250071,911570.8895282745,571693.8296899796,323607668.4609375,Oz
1820000018,BUDWEISER BEER,.61563581,31669.46856307983,19358.99934196472,11242661.42578125,Oz
