Fecha ;Symbol;open_to_close;rk_parzen;close_price;open_time;rv5_ss;medrv;rsv;rsv_ss;close_time;rv10;rv10_ss;bv;rk_th2;open_price;nobs;rv5;rk_twoscale;bv_ss
2000-01-04;.FTSE;-0.0388536915410533;0.000467700141982956;6666.1;80001;0.000232792284192125;9,58E+09;0.000178313024253241;0.000178313024253241;162945;0.00032075075493139;0.00032075075493139;0.0001967016009248;0.000209009711294062;6930.2;2040;0.000232792284192125;0.000204372309769364;0.0001967016009248
2000-01-05;.FTSE;-0.0196490214281333;0.000285865147984615;6536.2;80001;0.000191529387335586;3,30E+09;0.000143995155045472;0.000143995155045472;162946;0.000277687917814832;0.000277687917814832;0.0001449249831094;0.000148874404826111;6665.9;2040;0.000191529387335586;0.000141675072047816;0.0001449249831094
2000-01-06;.FTSE;-0.0136020890224167;0.000110198392886351;6447.6;80001;0.000123422800501623;4,39E+09;8,05E+09;8,05E+09;162945;0.000146109220342601;0.000146109220342601;0.000127154865277572;0.000131669776780936;6535.9;2040;0.000123422800501623;0.000129559000860548;0.000127154865277571
2000-01-07;.FTSE;0.00892518393630404;0.000100472860723157;6505;80001;0.000114034302989887;5,01E+09;5,36E+09;5,36E+09;162945;7,61E+09;7,61E+09;0.000115735022949275;0.000148424688315099;6447.2;2040;0.000114034302989887;0.000148863687921613;0.000115735022949275
2000-01-10;.FTSE;0.0158314652166816;0.000219683764057804;6608.6;80001;0.000123278600316785;4,69E+09;3,22E+08;3,22E+08;162945;0.000166478023888852;0.000166478023888852;0.000136569170742414;9,74E+09;6504.8;2040;0.000123278600316785;9,68E+08;0.000136569170742414
2000-01-11;.FTSE;-0.0134379497909602;0.000100006765424315;6519.5;80001;8,62E+09;3,27E+09;5,88E+09;5,88E+09;162945;9,57E+09;9,57E+09;8,81E+09;8,95E+09;6607.7;2040;8,62E+09;8,90E+09;8,81E+09
2000-01-12;.FTSE;0.00196159626444548;8,24E+09;6531.7;80001;7,21E+09;5,11E+09;3,68E+09;3,68E+09;162945;9,54E+09;9,54E+09;7,72E+09;7,18E+09;6518.9;2040;7,21E+09;7,16E+09;7,72E+09
2000-01-13;.FTSE;-0.000290882370752144;9,43E+09;6530.9;80002;8,99E+08;3,72E+09;4,12E+08;4,12E+08;162945;8,31E+09;8,31E+09;8,47E+09;0.000109747100391028;6532.8;2040;8,99E+08;0.000109343104091453;8,47E+09
2000-01-14;.FTSE;0.019197532620943;0.000212255682783392;6658.1;80002;0.000141883411249198;2,59E+08;2,73E+09;2,73E+09;162945;0.000154413584127139;0.000154413584127139;6,73E+09;0.000116249600794348;6531.5;2040;0.000141883411249198;0.00011579644398142;6,73E+09
2000-01-17;.FTSE;0.00156076509157188;2,86E+09;6668.6;80002;7,44E+09;3,27E+09;3,67E+09;3,67E+09;162945;7,14E+09;7,14E+09;6,72E+09;7,11E+09;6658.2;2040;7,44E+09;7,24E+09;6,72E+09
2000-01-18;.FTSE;-0.0250045286874716;0.00030905461300441;6504.8;80001;0.00014695794971931;5,94E+09;0.000114318798232424;0.000114318798232424;162945;0.000134879719963967;0.000134879719963967;0.000124398713085292;0.000131119622620476;6669.5;2040;0.00014695794971931;0.000130004105484885;0.000124398713085292
2000-01-19;.FTSE;-0.00914292083267476;4,14E+09;6445.4;80001;0.000116028992451576;5,04E+08;6,97E+09;6,97E+09;162945;9,74E+07;9,74E+07;0.000104772568747562;0.00011983044383861;6504.6;2040;0.000116028992451576;0.000118414127052791;0.000104772568747562
2000-01-20;.FTSE;-0.015132381924456;0.000122888719758987;6348.6;80002;0.000112883575087824;5,21E+09;7,03E+09;7,03E+09;162946;0.000139220801143064;0.000139220801143064;0.000108835603420912;0.000118296852539198;6445.4;2040;0.000112883575087824;0.000119205766177877;0.000108835603420912
2000-01-21;.FTSE;-0.000362344530591585;0.000115532299768557;6346.4;80001;0.000130700486064381;7,00E+09;8,50E+09;8,50E+09;162945;0.00012067444343129;0.00012067444343129;0.000133912593711579;0.000126889168904228;6348.7;2040;0.000130700486064381;0.000125792239963224;0.000133912593711579
2000-01-24;.FTSE;0.0053118052981187;0.000227402358217414;6380.1;80002;0.000168500930403823;2,82E+09;5,16E+08;5,16E+08;162945;0.000121922539944492;0.000121922539944493;0.000147902751421591;9,67E+09;6346.3;2040;0.000168500930403823;9,59E+09;0.000147902751421591
2000-01-25;.FTSE;-0.0166748238925578;0.000170455152935242;6274.3;80001;0.000139676099171975;3,39E+09;1,00E+10;1,00E+10;162945;0.000196830613205879;0.000196830613205879;0.000112363190090304;0.000122127115815945;6379.8;2040;0.000139676099171975;0.000117614462652335;0.000112363190090304
